"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D01","BART","BART_001","distributed","basePlot",1600
"2","D01","BART","BART_001","distributed","mammalGrid",8100
"3","D01","BART","BART_002","distributed","basePlot",1600
"4","D01","BART","BART_003","distributed","basePlot",1600
"5","D01","BART","BART_003","distributed","birdGrid",250000
"6","D01","BART","BART_004","distributed","basePlot",1600
"7","D01","BART","BART_004","distributed","birdGrid",250000
"8","D01","BART","BART_005","distributed","basePlot",1600
"9","D01","BART","BART_006","distributed","basePlot",1600
"10","D01","BART","BART_007","distributed","basePlot",1600
"11","D01","BART","BART_007","distributed","mammalGrid",8100
"12","D01","BART","BART_009","distributed","birdGrid",250000
"13","D01","BART","BART_010","distributed","basePlot",1600
"14","D01","BART","BART_010","distributed","tickPlot",1600
"15","D01","BART","BART_011","distributed","basePlot",1600
"16","D01","BART","BART_011","distributed","tickPlot",1600
"17","D01","BART","BART_012","distributed","basePlot",1600
"18","D01","BART","BART_012","distributed","birdGrid",250000
"19","D01","BART","BART_012","distributed","mammalGrid",8100
"20","D01","BART","BART_013","distributed","basePlot",1600
"21","D01","BART","BART_015","distributed","basePlot",1600
"22","D01","BART","BART_015","distributed","birdGrid",250000
"23","D01","BART","BART_015","distributed","mammalGrid",8100
"24","D01","BART","BART_015","distributed","tickPlot",1600
"25","D01","BART","BART_016","distributed","basePlot",1600
"26","D01","BART","BART_016","distributed","birdGrid",250000
"27","D01","BART","BART_018","distributed","basePlot",1600
"28","D01","BART","BART_018","distributed","birdGrid",250000
"29","D01","BART","BART_019","distributed","basePlot",1600
"30","D01","BART","BART_019","distributed","tickPlot",1600
"31","D01","BART","BART_023","distributed","basePlot",1600
"32","D01","BART","BART_024","distributed","basePlot",1600
"33","D01","BART","BART_025","distributed","basePlot",1600
"34","D01","BART","BART_025","distributed","birdGrid",250000
"35","D01","BART","BART_026","distributed","basePlot",1600
"36","D01","BART","BART_027","distributed","basePlot",1600
"37","D01","BART","BART_028","distributed","basePlot",1600
"38","D01","BART","BART_029","distributed","basePlot",1600
"39","D01","BART","BART_029","distributed","tickPlot",1600
"40","D01","BART","BART_030","distributed","basePlot",1600
"41","D01","BART","BART_041","tower","basePlot",1600
"42","D01","BART","BART_052","tower","phenology",40000
"43","D01","BART","BART_053","tower","phenology",40000
"44","D01","BART","BART_054","distributed","mosquitoPoint",0
"45","D01","BART","BART_055","distributed","mosquitoPoint",0
